"setA","setB","padj","pval","odds.ratio","jaccard.index","A.nCells","B.nCells","AB.intersect","A.total.counts","B.total.counts","B.avg_in.A","B.avg_in_all.B"
"Vmn2r96","Xbp1",0.0159266970140361,0.000302511198836636,3.20227278924461,0.00532581453634085,47,3162,17,11375,24069,4.29411764705882,4.03573687539532
"Fpr-rs7","Cux1",0.0159293380421416,0.000302705165373091,3.39954136707816,0.00476758045292014,41,3331,16,1113,25181,3.875,3.89102371660162
"Vmn2r97","Mef2c",0.0159293380421416,0.000302660241345741,3.37295217591781,0.00840336134453781,64,1616,14,10921,13580,5.42857142857143,4.11509900990099
"Vmn1r85","Casz1",0.0159407095356562,0.000302993210624743,1.49261778699929,0.0182851494934519,312,7930,148,35119,52904,5.93918918918919,5.20592686002522
"Vmn1r59","Nhlh1",0.0159508957630303,0.000303394942925162,3.30361539237203,0.00314315649109439,43,10489,33,5867,102177,11.6060606060606,8.92983125178759
"Vmn1r258","Pcbp1",0.0159508957630303,0.000303474820537557,8.30617919810731,0.00171073094867807,14,6427,11,645,41361,5.09090909090909,4.70732845806753
"Vmn2r75","Tcf4",0.0159508957630303,0.000303430990101241,5.44222801700761,0.00205761316872428,21,7771,16,1831,57487,7.4375,6.01029468536868
"Vmn2r121","Thra",0.0159508957630303,0.000303432604149176,2.39285233846007,0.00806692560501942,88,3286,27,10087,25172,4.25925925925926,3.84297017650639
"Fpr-rs3","Zfp512b",0.0159700782951283,0.0003039118644254,2.81363603076556,0.0109555690809495,98,1563,18,3124,16173,3.38888888888889,3.66602687140115
"Olfr344","Zbtb38",0.0160073387410336,0.00030469318722664,2.21080695942276,0.00567984235539585,81,8595,49,9128,54614,4.87755102040816,5.08563118091914
"Vmn2r121","Tfap2e",0.0160164468181298,0.000304938850426423,2.69673167259858,0.00934142923867352,88,2073,20,10087,14311,5.15,5.5291847563917
"Vmn2r58","Zfp329",0.0160516468926645,0.000305681481963635,2.53097147709412,0.0089043747580333,90,2516,23,16567,21546,4.04347826086957,3.74443561208267
"Vmn1r91","Ascl4",0.0160549710785982,0.000305841543674233,2.19847183896713,0.0264705882352941,563,484,27,22428,6809,3.48148148148148,3.59297520661157
"Vmn2r71","Foxn3",0.0160549710785982,0.000305889723588826,14.7940530194381,0.0108695652173913,20,352,4,667,5682,5.25,3.52556818181818
"Vmn2r2","Nr2c2",0.0160998072396605,0.000306816642138115,1.74917275509175,0.0318153462258266,1021,633,51,26099,9959,3.3921568627451,3.41864139020537
"Vmn2r1","Zfp780b",0.0161211957559108,0.000307297014034284,3.3074850910326,0.0100574712643678,1329,77,14,32462,4203,3.35714285714286,3.2987012987013
"Vmn2r49","Hes1",0.0161336177985599,0.000307606622526979,27.7161798973484,0.0148514851485149,190,15,3,21241,939,3.66666666666667,3.33333333333333
"Vmn1r57","Jun",0.0161342043827605,0.000307690632638046,1.51400465064425,0.0218875502008032,358,4731,109,23544,34487,4.96330275229358,5.14648065948003
"Vmn2r104","Ar",0.0161962152192639,0.000308946329020914,25.7120661113915,0.027027027027027,35,79,3,5271,1248,3.66666666666667,3.43037974683544
"Vmn2r58","Sox11",0.0161963169926858,0.000309021376918728,2.32725508306619,0.00798678050123933,90,3570,29,16567,28826,6.20689655172414,6.04873949579832
"Vmn2r48","Tcf4",0.016215061213366,0.000309452202768351,3.06336495143184,0.00346776265091189,42,7771,27,5924,57487,8.66666666666667,6.01029468536868
"Vmn2r112","Nhlh1",0.0162671062475461,0.000310518869032212,2.92673875405535,0.0036183584079223,51,10489,38,6280,102177,8.07894736842105,8.92983125178759
"Vmn2r78","Ikzf4",0.0162780041936849,0.000310851607130113,4.83156652925885,0.00817438692098093,44,1066,9,6162,10358,4,4.02908067542214
"Vmn2r49","Mafg",0.0162780041936849,0.000310873847829239,1.92444199590321,0.0146853146853147,190,2712,42,21241,21587,3.97619047619048,3.89564896755162
"Vmn2r89","Casz1",0.0162834703409618,0.000311051739080952,2.00081432558707,0.00714554343738247,104,7930,57,15160,52904,6.21052631578947,5.20592686002522
"Vmn2r76","Zkscan2",0.0163091789081665,0.000311616447830989,25.5479419345692,0.0280373831775701,71,39,3,27109,2311,3,3.30769230769231
"Vmn2r53","Myef2",0.0163411221765063,0.000312300542083413,1.63869099599442,0.0170807453416149,259,4326,77,49358,30797,4.50649350649351,4.35945446139621
"Vmn2r42","Atf6",0.0163445159456367,0.000312439177002182,2.53750517614813,0.0142372881355932,142,1354,21,5811,14881,3.66666666666667,3.54357459379616
"Vmn1r213","Cux1",0.0163447297115774,0.000312517039767459,3.22544684851627,0.00506103006847276,45,3331,17,15491,25181,4.11764705882353,3.89102371660162
"Vmn2r79","Zfp131",0.016359239009721,0.000312868304644622,3.28753385215491,0.0105342362678706,81,1262,14,17909,12814,4.21428571428571,4.21632329635499
"Vmn2r30","Bcl11b",0.0163730069370838,0.000313255360997388,1.70011258802552,0.0166368057332992,243,3729,65,30393,27751,4.16923076923077,4.29203539823009
"Vmn2r74","Nrf1",0.0163730069370838,0.000313353326712687,5.37085729889452,0.00914285714285714,44,839,8,5399,10363,3.375,3.70560190703218
"Olfr539","Zfp553",0.0163730069370838,0.000313313779861863,103.926184201855,0.0229885057471264,7,82,2,6644,3931,3.5,3.28048780487805
"Fpr-rs3","Hdac5",0.0164570280563406,0.0003150356407167,4.55597511367008,0.0163339382940109,98,462,9,3124,9036,3.44444444444444,3.31601731601732
"Vmn1r258","Atmin",0.0164744659979892,0.000315575665528266,9.26353128339628,0.00379027163613392,14,1575,6,645,15717,4,3.63809523809524
"Vmn1r206","Stat1",0.0164744659979892,0.000315591304614475,97.5665546164099,0.0285714285714286,63,9,2,12408,1004,3,3.33333333333333
"Olfr344","Zfp112",0.0164744659979892,0.000315592540061866,4.19077166541608,0.0131578947368421,81,689,10,9128,9513,3.7,3.49201741654572
"Vmn2r2","Gm4924",0.0165548504605681,0.00031728187202349,3.93841963077131,0.0102230483271375,1021,66,11,26099,3401,3,3.13636363636364
"Vmn1r122","Zfp112",0.0165548504605681,0.000317248101497604,16.8985840723228,0.00574712643678161,11,689,4,238,9513,4,3.49201741654572
"Vmn2r120","Mef2c",0.0166503127842446,0.000319186610310759,3.55798083313974,0.00783132530120482,57,1616,13,22708,13580,3.92307692307692,4.11509900990099
"Vmn1r56","Pcbp1",0.0166666872615313,0.000319575738846392,2.4109309194665,0.00526397275119988,66,6427,34,2507,41361,4.61764705882353,4.70732845806753
"Vmn1r61","Irf2",0.0166986106456395,0.000320263228222485,1.60233752979445,0.0253464008110848,405,2629,75,73520,21111,4.05333333333333,3.94864967668315
"Vmn1r122","Zbtb7a",0.0166994678747722,0.00032035504670757,11.6121379387973,0.00153505031553812,11,5861,9,238,39887,5.77777777777778,4.79389182733322
"Vmn2r29","Zfp512b",0.0167246348577856,0.000320913329995155,5.86541296823752,0.00506329113924051,25,1563,8,909,16173,4.25,3.66602687140115
"Vmn1r235","Nfe2l1",0.0167329534316819,0.000321148476110892,2.19856003174564,0.00915070060051473,107,3422,32,19163,26317,3.5625,3.71157218001169
"Vmn2r40","Sp8",0.016742816013354,0.000321413337778476,9.93010031856228,0.00927643784786642,25,519,5,720,4736,5,4.35260115606936
"Vmn2r113","Ddit3",0.0167482556446258,0.000321593360742057,2.97397000305926,0.00551684088269454,52,3411,19,6092,28328,7.36842105263158,6.03518029903254
"Vmn2r74","Rlf",0.0167539368797006,0.000321778073083118,4.80784780063409,0.0081374321880651,44,1071,9,5399,11750,3.88888888888889,4.03921568627451
"Vmn2r77","Dlx6",0.0167569517477059,0.000321911614118352,2.7300960147261,0.00673724735322425,66,3072,21,9763,23836,4.23809523809524,4.45345052083333
"Vmn1r196","Insm1",0.0167623785031751,0.000322091527136895,2.38369753492795,0.0134003350083752,141,1674,24,113177,15317,4.54166666666667,5.74133811230585
"Vmn2r12","Emx2",0.0167718331732404,0.000322348904288346,15.8402178081958,0.0013271400132714,13,9041,12,1320,65125,6.08333333333333,6.07919477933857
"Vmn2r3","Myt1",0.0168118150283271,0.000323193226653149,3.56538866816296,0.0153846153846154,678,114,12,21546,3562,3.41666666666667,3.34210526315789
"Vmn2r97","Rfx7",0.0168411854612846,0.000323833866252629,3.2170305038663,0.00797872340425532,64,1831,15,10921,17265,4.06666666666667,3.6794101583834
"Vmn1r196","Bcl11b",0.0168434445722064,0.000323953333523686,1.97199073933265,0.0109717868338558,141,3729,42,113177,27751,5.14285714285714,4.29203539823009
"Fpr-rs6","Plscr1",0.0168688150073337,0.000324517430222693,4.24350577091285,0.00343370311674591,27,3772,13,933,27633,6.15384615384615,5.32051961823966
"Vmn2r114","Batf3",0.0168706011228632,0.000324627941116735,6.21113632981227,0.00906735751295337,38,741,7,14469,6876,4.85714285714286,4.12010796221323
"Vmn1r67","Eno1",0.0168773531268192,0.000324834045303673,3.06806135239973,0.00361718161266014,41,6618,24,16693,51811,6.375,6.34013297068601
"Vmn2r70","Zfp292",0.0168796533371638,0.000324954507831418,9.5461048207736,0.00345025876940771,13,1732,6,1488,16418,3.33333333333333,3.75577367205543
"Vmn2r32","Mef2c",0.016896232773139,0.000325349948589043,3.80144726778085,0.00725513905683192,50,1616,12,2953,13580,3.75,4.11509900990099
"Vmn1r210","Ebf1",0.0168962830095123,0.000325427181966512,10.7496626959342,0.0109527381845461,220,19994,219,21050,405154,22.6986301369863,20.203411023307
"Vmn2r1","Crebl2",0.0168982723633959,0.000325541772501055,2.76578895128196,0.0126227208976157,1329,115,18,32462,3698,3.27777777777778,3.2695652173913
"Vmn2r6","Foxj3",0.0169002988233126,0.000325657096002245,3.56759839627628,0.0149625935162095,704,110,12,21865,5345,3,3.2
"Olfr653","Zfp523",0.0169277800444697,0.000326263048378136,4.3319692918465,0.00500227376080036,33,2177,11,3722,19100,4,3.60817638952687
"Vmn2r76","Bcl11a",0.0169337489543719,0.000326454527245705,2.49792190115276,0.00650650650650651,71,3951,26,27109,28499,4.57692307692308,4.2758795241711
"Vmn2r82","Cebpb",0.0169717706984669,0.000327264130032186,2.460034904421,0.00793147208121827,84,3093,25,7054,24583,5.08,4.79631425800194
"Vmn2r100","Nfat5",0.0169760236601992,0.000327652643136405,2.88024861395761,0.00507246376811594,51,4110,21,14782,29445,4.52380952380952,4.2683698296837
"Olfr1247","Smad4",0.0169760236601992,0.000327497112700193,5.81873218074003,0.00268672756582483,18,3714,10,4416,27102,4.6,3.80183091007001
"Vmn2r90","Tcf4",0.0169760236601992,0.000327597083816141,2.34890539519183,0.00512820512820513,69,7771,40,10151,57487,6.725,6.01029468536868
"Vmn2r30","Zfp846",0.0169760236601992,0.000327623432647065,2.6109309740376,0.0212290502793296,243,671,19,30393,9349,3.42105263157895,3.42175856929955
"Vmn1r57","Dlx5",0.0170393047205335,0.000328950936562136,1.49203726197635,0.0215710947330577,358,5325,120,23544,35992,4.575,4.70159624413146
"Vmn1r84","Aff3",0.0170458684330108,0.000329154593021793,5.93220174146789,0.0148936170212766,67,410,7,18789,8228,3.42857142857143,3.35853658536585
"Vmn2r43","Casz1",0.0170667484527818,0.000329634820304108,9.8745678847078,0.00151285930408472,14,7930,12,439,52904,5.66666666666667,5.20592686002522
"Vmn2r115","Casz1",0.0170683992404465,0.000329743747287721,2.00834359749529,0.00702106318956871,102,7930,56,30319,52904,5.69642857142857,5.20592686002522
"Vmn2r76","Irf2",0.0170781724672793,0.000330009642926112,2.74836795122083,0.00746268656716418,71,2629,20,27109,21111,3.8,3.94864967668315
"Vmn2r95","Ddit3",0.0171291517370987,0.000331072056739324,3.80339515261677,0.00408163265306122,33,3411,14,7804,28328,6,6.03518029903254
"Vmn2r25","Emx2",0.0171334263649775,0.000331309349599012,2.8095317855519,0.0037540024290604,50,9041,34,5981,65125,8.38235294117647,6.07919477933857
"Vmn2r32","Emx2",0.0171334263649775,0.000331309349599012,2.8095317855519,0.0037540024290604,50,9041,34,2953,65125,5.97058823529412,6.07919477933857
"Olfr1348","Zfp644",0.0171459448160931,0.000331706205005665,39.470242653661,0.00207146556188503,5,1930,4,872,18153,4.25,3.73367875647668
"Olfr449","Zfp644",0.0171459448160931,0.000331706205005665,39.470242653661,0.00207146556188503,5,1930,4,421,18153,5,3.73367875647668
"Vmn2r49","Klf7",0.0171467330455021,0.000331798850639455,1.66089583425844,0.0116568583069262,190,8749,103,21241,62394,5.62135922330097,5.90547491141845
"Vmn2r30","Hdgf",0.017186670525403,0.000332649239938468,1.6247876377795,0.0157854697603652,243,5098,83,30393,34305,4.78313253012048,4.55041192624559
"Vmn2r112","Trp73",0.0171925568871934,0.000332840774244269,5.24707976946177,0.0104302477183833,51,724,8,6280,9915,3.5,3.46546961325967
"Vmn1r85","Xbp1",0.0172102477063188,0.000333260944372711,1.64287130505541,0.0205640423031727,312,3162,70,35119,24069,3.98571428571429,4.03573687539532
"Vmn2r5","Esrra",0.0172600761058266,0.000334303734563347,7.04318935523367,0.0199335548172757,89,218,6,3689,5418,3.16666666666667,3.39449541284404
"Vmn2r42","Zfp512b",0.017285644794997,0.000334876988138369,2.42008650618902,0.0136741973840666,142,1563,23,5811,16173,3.52173913043478,3.66602687140115
