"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Hnrnpul1",7.10909569631071e-12,-0.882802745697746,0.847,0.983,3.71997650500851e-07
"Brinp1",7.3908352215964e-12,-0.66928129089577,0.102,0.542,3.86740234640475e-07
"Cibar2",7.4384618594116e-12,-0.797241526609478,0.241,0.729,3.89232393717431e-07
"Stil",8.83021927750536e-12,1.07544322062825,0.788,0.339,4.62058884134023e-07
"Gm43011",8.93600192108996e-12,-0.804293598651003,0.117,0.542,4.67594172524874e-07
"B3galt1",9.22290465751417e-12,1.05063052405942,0.599,0.068,4.82606932013744e-07
"Pacsin3",1.02383091906716e-11,-0.670264961186052,0.066,0.475,5.35740005020274e-07
"S100z",1.08621628189783e-11,1.14894862469187,0.891,0.525,5.68384393828676e-07
"Apba2",1.17387251229883e-11,1.01593861646472,0.869,0.525,6.14252269510611e-07
"Sephs2",1.31449132367962e-11,-0.795673643534992,0.19,0.627,6.87833874941834e-07
"Adipor1",1.39537616463403e-11,-0.982426012172662,0.27,0.678,7.3015848566805e-07
"Clcf1",1.44263515620982e-11,-0.430516701129809,0,0.305,7.54887698189912e-07
"Ptchd1",1.44263515620982e-11,-0.503797331258382,0,0.305,7.54887698189912e-07
"Krt90",1.48590386384637e-11,0.952459821708589,0.679,0.186,7.77528914834889e-07
"H4c11",1.48643395599583e-11,-0.562534088791137,0.029,0.39,7.7780629615394e-07
"Krt18",1.74918991394945e-11,0.926220632855371,0.774,0.203,9.15298606272326e-07
"Btg1",1.83054955627908e-11,-0.948923907002064,0.584,0.915,9.57871666314153e-07
"Eef2k",1.91219336783417e-11,-0.744160716247376,0.46,0.864,1.00059342358659e-06
"Snn",2.06236446121538e-11,1.01977281907361,0.825,0.441,1.07917345162017e-06
"Eef2",2.54401038761014e-11,-0.578480907682575,0.978,1,1.33120431552476e-06
"Lrrc1",2.75146700614189e-11,-0.80199006839028,0.314,0.729,1.43976014030387e-06
"Ikzf2",2.75405402143847e-11,-0.654331876254027,0.168,0.661,1.44111384779811e-06
"Mllt11",2.90908758378679e-11,1.04622793339869,0.861,0.746,1.52223825996811e-06
