"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Foxo1",2.61627878574058e-28,0.397665583840679,0.461,0.198,1.36902020021447e-23
"Ubxn2a",2.64770364344715e-28,-0.347777096614007,0.604,0.814,1.38546388550659e-23
"5730480H06Rik",2.68811988282176e-28,-0.253786421797609,0.288,0.535,1.40661249108414e-23
"Osbpl3",3.23319591500852e-28,-0.232676608115276,0.127,0.326,1.69183442644651e-23
"Slco4a1",3.24230864673021e-28,0.382849464796653,0.317,0.065,1.69660284557452e-23
"Pih1d2",3.24388094869185e-28,-0.275247193349198,0.211,0.447,1.69742558402199e-23
"Sec61a1",3.49350343024532e-28,0.575147962111203,0.771,0.681,1.82804553994447e-23
"Angptl3",3.87305801161419e-28,-0.059175067823104,0.005,0.058,2.02665506573736e-23
"Dnajc7",3.89910675471264e-28,-0.431055476515901,0.679,0.837,2.04028559153848e-23
"Asf1a",3.90041313626994e-28,-0.204894363145206,0.201,0.426,2.04096918181597e-23
"Vldlr",3.98854581406722e-28,0.484453230601834,0.654,0.433,2.08708636812696e-23
"Zfp703",4.05175477594731e-28,0.379098497906411,0.339,0.086,2.12016172160995e-23
"Cspg4",4.11928277407705e-28,-0.0829196772377039,0.019,0.109,2.1554970971913e-23
"Olfr653",4.13390937674846e-28,-2.53699176507358,0.022,0.116,2.16315075957117e-23
"Supt4a",4.19819153158115e-28,-0.373185579794763,0.645,0.835,2.19678768273047e-23
"Ahnak2",4.20520928476333e-28,0.398597397663597,0.29,0.042,2.20045986243811e-23
"Uqcc2",4.52260110644931e-28,0.50786938446757,0.869,0.821,2.36654148097173e-23
"Gcsh",4.62392322307535e-28,-0.268685926131244,0.376,0.642,2.41956030493864e-23
"Rab6b",4.63355309098872e-28,-0.420418506217831,0.833,0.921,2.42459932592167e-23
"Appl1",4.63716379947937e-28,0.429444197716025,0.875,0.833,2.42648870135357e-23
"Bicd2",4.707285753403e-28,-0.0961367948132546,0.023,0.121,2.46318141618319e-23
"Gm10209",4.77957967801102e-28,-0.0878724022101431,0.035,0.149,2.50101065811283e-23
"Caskin1",5.03222203633718e-28,0.500737930613876,0.403,0.147,2.63321082495416e-23
"Cmtr2",5.10131545358936e-28,0.344074608423167,0.336,0.079,2.66936533739971e-23
"Ly6h",5.14605364828247e-28,-1.04171193330346,0.592,0.714,2.69277549253677e-23
"S100a4",5.48009675113166e-28,-0.0547334429275388,0.004,0.053,2.86757022696466e-23
"Arl5a",5.50248316691167e-28,-0.205447395219175,0.134,0.33,2.87928436674987e-23
"Nipbl",5.5167981990084e-28,-0.421336175695979,0.631,0.847,2.88677499359513e-23
"Nck2",5.88284153658153e-28,-0.202233244186575,0.108,0.288,3.07831449084702e-23
"Gm29695",5.91589601211792e-28,-0.0412395500521507,0.004,0.053,3.09561090626095e-23
"Rpl9-ps9",6.14681839461639e-28,0.473819693771537,0.233,0.005,3.21644566135092e-23
"Gss",6.71573124657371e-28,-0.15507158398777,0.113,0.302,3.51414068939463e-23
"Sltm",7.06664696008389e-28,-0.395735413879846,0.711,0.884,3.6977643548031e-23
"Cdkl5",7.47552563115181e-28,-0.219746968396714,0.134,0.333,3.91171829701281e-23
"Bub3",7.82738674858765e-28,-0.293833528318817,0.386,0.64,4.09583666393346e-23
"Atf6b",7.98593535243483e-28,0.488654920268225,0.746,0.656,4.17880039186857e-23
"Il17b",8.1360255936547e-28,-0.0469134077777734,0.006,0.065,4.2573381123917e-23
"Agtrap",8.16529013801377e-28,0.399694282801146,0.431,0.174,4.27265137051846e-23
"Gm50069",8.42754585583961e-28,-0.156056414530842,0.112,0.295,4.40988191998519e-23
"Cmtm4",9.21324477597555e-28,0.502368593431895,0.83,0.767,4.82101459392473e-23
"Polr1c",9.25658240351294e-28,-0.191823882170666,0.162,0.367,4.84369187428622e-23
"Nfatc1",9.58210607413817e-28,-0.351712552686079,0.284,0.509,5.01402864541428e-23
"Dync1li1",9.89492545729707e-28,-0.476643013936447,0.628,0.812,5.17771764403984e-23
"Timm23",9.9807783422579e-28,-0.308028717016285,0.512,0.795,5.22264188315329e-23
"6330415G19Rik",1.02591251631062e-27,-0.196424697427112,0.177,0.391,5.36829242409856e-23
"Fbrsl1",1.04259322359261e-27,-0.252085191190044,0.257,0.502,5.45557756109303e-23
"Nktr",1.11284040531565e-27,0.517457087710622,0.854,0.819,5.82315998889521e-23
"Tpt1",1.14451628874173e-27,-0.367954140768427,0.983,0.944,5.98891038409885e-23
"Mapk8ip1",1.16852184184194e-27,-0.374902103276779,0.824,0.933,6.11452424180633e-23
"Farsa",1.20100662094998e-27,-0.278266533373209,0.236,0.47,6.28450734544497e-23
"Pck2",1.29324066734612e-27,-0.361969306871793,0.418,0.679,6.76714044002205e-23
"Tceal3",1.3199763461961e-27,0.502122747690118,0.255,0.023,6.90704022674034e-23
"Eif4h",1.41842902438493e-27,-0.369232157515061,0.614,0.814,7.422213555899e-23
"Nkap",1.49920494693497e-27,-0.216848417714151,0.179,0.4,7.84488972582659e-23
"Fhl1",1.57893996588466e-27,-0.156766793470615,0.056,0.195,8.26211915948466e-23
"Vdac1",1.57992320449595e-27,-0.345826235837068,0.847,0.898,8.26726415216597e-23
"Efcab6",1.59698706036098e-27,-0.197969987607733,0.062,0.209,8.3565541907509e-23
"Pcnx",1.67905756344122e-27,0.485797477951914,0.541,0.305,8.78600451221885e-23
"Klhdc8b",1.79268690230399e-27,-0.0602899789420079,0.007,0.067,9.38059275368608e-23
"Cabp1",1.90184850621749e-27,-0.149720076841955,0.027,0.128,9.95180267848426e-23
"Satb2",1.96310813821862e-27,0.416497223544754,0.371,0.123,1.02723559548566e-22
"mt-Nd1",2.06862507661432e-27,0.508743017404,0.979,0.974,1.08244944383998e-22
"Alg13",2.10002906066464e-27,-0.22657011806673,0.141,0.337,1.09888220657399e-22
"Srek1ip1",2.14395615682769e-27,-0.158698712861938,0.161,0.374,1.12186793818323e-22
"Vim",2.19110382296432e-27,-0.0161223655954659,0.799,0.437,1.14653889744254e-22
