"setA","setB","padj","pval","odds.ratio","jaccard.index","A.nCells","B.nCells","AB.intersect","A.total.counts","B.total.counts","B.avg_in.A","B.avg_in_all.B"
"Vmn1r61","Kirrel2",5.10249760373008e-08,6.78315542135563e-10,1.84990297892024,0.0257126886528787,405,8770,230,73520,91269,12.804347826087,9.68187001140251
"Vmn2r48","Pcdh9",5.10249760373008e-08,6.78981589799615e-10,7.13623551699289,0.00605798355690177,42,4608,28,5924,32574,5.53571428571429,4.99088541666667
"Vmn1r86","Efna5",5.24768605219854e-08,6.99422464986093e-10,2.64544463656065,0.012624064078008,191,11440,145,74949,102215,16.0275862068966,8.26232517482518
"Vmn2r57","Pcdh10",5.3301540131712e-08,7.11552449534794e-10,23.5142432606888,0.00512257592389316,18,2729,14,4425,28421,34.8571428571429,8.96995236350311
"Vmn2r1","Plxnb1",5.432127363018e-08,7.26325714308443e-10,3.74214191700149,0.0244233378561737,1329,181,36,32462,4993,3.25,3.21546961325967
"Vmn1r56","Pcdh7",5.44963334351249e-08,7.29830429830904e-10,4.9779297674855,0.00944231336677486,66,3355,32,2507,25366,4.40625,5.18569299552906
"Olfr344","Plxna1",5.53726552872691e-08,7.42749103344974e-10,4.00800342800658,0.00809395334073957,81,6271,51,9128,41040,4.94117647058824,4.61712645511083
"Vmn2r49","Plxna1",5.66057488890233e-08,7.60498441864148e-10,2.4666964623956,0.0152419861722187,190,6271,97,21241,41040,4.76288659793814,4.61712645511083
"Vmn2r32","Plxnd1",5.94255640880331e-08,7.99651958124244e-10,19.5420347998326,0.0318471337579618,50,274,10,2953,3602,3.5,3.48175182481752
"Vmn2r31","Rtn4rl1",6.09278841129007e-08,8.21169098962799e-10,4.02277667066035,0.0144,105,2431,36,6084,18782,3.86111111111111,3.79596873714521
"Vmn2r50","Emb",6.2423799705668e-08,8.4399729193233e-10,4.22368789450879,0.00975975975975976,79,3956,39,3615,28612,5.20512820512821,4.44716885743175
"Vmn2r130","Gap43",6.2423799705668e-08,8.42795109110706e-10,9.71321803730479,0.0052367941712204,32,4383,23,3635,55114,13.9130434782609,10.995665069587
"Vmn1r191","Pcdh7",6.46334158148841e-08,8.75252800773987e-10,4.10562748867832,0.0111633372502938,87,3355,38,11105,25366,5.31578947368421,5.18569299552906
"Vmn1r60","Pcdh19",6.46429949502081e-08,8.77706388276777e-10,3.26709459413718,0.0200177935943061,169,2124,45,28945,17422,4.77777777777778,4.46327683615819
"Vmn2r60","Pcdh9",6.46429949502081e-08,8.78143978562356e-10,5.71196777101188,0.00691443388072602,52,4608,32,7801,32574,6.125,4.99088541666667
"Vmn1r56","Apbb1",6.48323413373905e-08,8.82100931947493e-10,4.70679562996188,0.00681405208964264,66,6583,45,2507,42932,5.53333333333333,4.89609600486101
"Vmn2r34","Pcdh9",6.5941402034956e-08,8.98599139183688e-10,7.40952392769813,0.00584289114910193,40,4608,27,1843,32574,5.74074074074074,4.99088541666667
"Vmn2r29","Kirrel3",6.62547564642921e-08,9.04284450012445e-10,13.4329438557603,0.00647249190938511,25,2463,16,909,19206,5,4.45879009338205
"Vmn2r2","Plxnb1",6.64915725801028e-08,9.08936871529451e-10,4.13185471446881,0.0264730999146029,1021,181,31,26099,4993,3.16129032258065,3.21546961325967
"Vmn2r29","Emb",6.66348906184154e-08,9.12510042222381e-10,13.6701342312713,0.00479555779909137,25,3956,19,909,28612,4.26315789473684,4.44716885743175
"Vmn2r53","Epha5",6.66348906184154e-08,9.13742572878437e-10,2.38460378070656,0.0157971796254913,259,12923,205,49358,128919,11.5707317073171,9.40439526425753
"Vmn1r57","Efna5",6.75981146929756e-08,9.28394800025274e-10,1.97461269053171,0.0217372477699835,358,11440,251,23544,102215,8.01593625498008,8.26232517482518
"Vmn1r198","Epha5",6.76052213170652e-08,9.2993640326776e-10,5.69932278477218,0.00634085988246211,91,12923,82,17146,128919,17.7073170731707,9.40439526425753
"Olfr344","Flot1",7.09911405083867e-08,9.78027374683015e-10,3.97484981250412,0.00791115168111973,81,6544,52,9128,48103,5.94230769230769,5.82029339853301
"Vmn1r37","Pcdh19",7.1118738424469e-08,9.81304306510466e-10,2.29472383997503,0.0331423895253683,401,2124,81,92639,17422,4.72839506172839,4.46327683615819
"Fpr-rs3","Efna5",7.22599211483489e-08,9.98593895146775e-10,4.29081387099389,0.00715782122905028,98,11440,82,3124,102215,8,8.26232517482518
"Vmn2r42","Emb",7.3924465643346e-08,1.02317599506361e-09,2.99785485338084,0.0143564356435644,142,3956,58,5811,28612,4.93103448275862,4.44716885743175
"Vmn1r56","Efna5",7.4200371665961e-08,1.03016450046723e-09,7.04910555025922,0.00515418887044641,66,11440,59,2507,102215,9.69491525423729,8.26232517482518
"Vmn2r18","Robo2",7.4200371665961e-08,1.02908559529655e-09,5.31285937734389,0.00933376247183779,61,3075,29,7128,21861,5.86206896551724,6.18276422764228
"Vmn2r38","Cyfip2",7.50449091906964e-08,1.04349258582475e-09,2.65929710951537,0.0119303735575983,171,10177,122,17814,66609,5.98360655737705,5.56490124791196
"Vmn1r22","Pcdh10",7.60437830475588e-08,1.05900607772669e-09,3.96478424419741,0.0132521489971347,100,2729,37,6834,28421,5.75675675675676,8.96995236350311
"Vmn1r57","Epha5",7.66224221210855e-08,1.06870096213142e-09,2.05238494792084,0.0210655800722688,358,12923,274,23544,128919,7.41970802919708,9.40439526425753
"Vmn2r31","Prtg",8.2565359268506e-08,1.15335437142986e-09,5.32279831887309,0.0199170124481328,105,1124,24,6084,10406,4.625,4.05249110320285
"Vmn2r114","Pcdh9",8.39779505697372e-08,1.17488055071079e-09,7.728453919474,0.00562770562770563,38,4608,26,14469,32574,5.53846153846154,4.99088541666667
"Vmn2r82","Plxna1",8.75622977270432e-08,1.22689707610193e-09,3.83071384568398,0.00825003966365223,84,6271,52,7054,41040,5.25,4.61712645511083
"Vmn2r25","Pcdh9",8.79777786077045e-08,1.23459781590973e-09,5.82377974576882,0.00669980548951805,50,4608,31,5981,32574,5.61290322580645,4.99088541666667
"Vmn2r32","Rtn4rl1",9.08831483774281e-08,1.27731025742979e-09,6.54513493478597,0.00935720097640358,50,2431,23,2953,18782,3.78260869565217,3.79596873714521
"Vmn2r24","Flot1",9.36570227390458e-08,1.31829591150906e-09,6.45630024427086,0.00533862111043319,47,6544,35,5543,48103,6.97142857142857,5.82029339853301
"Vmn2r113","Gap43",9.54565363047134e-08,1.34566435903095e-09,5.61717347807674,0.00703905540417802,52,4383,31,6092,55114,12.9032258064516,10.995665069587
"Vmn2r76","Flot1",9.73517169790856e-08,1.37446035548668e-09,4.33949085551179,0.00715590742996346,71,6544,47,27109,48103,7.36170212765957,5.82029339853301
"Vmn1r37","Nrp2",1.01750896451953e-07,1.43874350572842e-09,1.8455746597728,0.0246561886051081,401,10030,251,92639,73113,5.70119521912351,6.58285144566301
"Vmn2r3","Ncam1",1.02694772889346e-07,1.45428327621078e-09,3.50142861588727,0.0341536397874426,678,19367,662,21546,420006,29.8141993957704,21.5923994423504
"Vmn2r44","Cdk5r2",1.04538112690068e-07,1.4826200783076e-09,5.01188016740269,0.0307692307692308,187,617,24,11469,9249,3.45833333333333,3.51863857374392
"Vmn2r4","Robo1",1.06147970856969e-07,1.50771926651895e-09,2.04840151126667,0.0309423347398031,407,3258,110,13501,24464,4.13636363636364,4.19306322897483
"Vmn2r23","Pcdh9",1.0805579673195e-07,1.53712590506811e-09,6.66010921170889,0.00605667315595933,43,4608,28,10906,32574,4.92857142857143,4.99088541666667
"Fpr-rs3","Plxna1",1.16608414958268e-07,1.66128012254186e-09,3.41996835940493,0.00919030264617335,98,6271,58,3124,41040,5.13793103448276,4.61712645511083
"Vmn2r42","Rtn4rl1",1.17209603220219e-07,1.67234856147435e-09,3.35266351437385,0.01699604743083,142,2431,43,5811,18782,3.67441860465116,3.79596873714521
"Vmn2r27","Robo2",1.19706634120185e-07,1.71053309040121e-09,7.57385965984601,0.00711513583441138,39,3075,22,4430,21861,7.90909090909091,6.18276422764228
"Vmn2r89","Unc5b",1.21858791630828e-07,1.74388889727572e-09,4.19142387612561,0.0152091254752852,104,2032,32,15160,17052,4.875,4.07726377952756
"Vmn2r50","Kirrel3",1.2187145890131e-07,1.74667326504292e-09,4.64342827353514,0.0119426751592357,79,2463,30,3615,19206,5.06666666666667,4.45879009338205
